Time,Open,High,Low,Last,Change,Volume
10/04/23,826.79,830.22,823.63,830.22,4.78,"628,651"
10/03/23,819.13,828.29,816.99,825.44,3.09,"3,297,648"
10/02/23,817.38,824.57,815.77,822.35,4.34,"3,383,258"
09/29/23,828.43,828.39,817.73,818.01,-8.63,"5,093,685"
09/28/23,815.35,826.82,813.08,826.64,11.29,"3,035,316"
09/27/23,820.38,822.34,809.26,815.35,-4.03,"3,947,944"
09/26/23,818.17,822,815.71,819.38,-1.65,"5,225,739"
09/25/23,824.49,829.98,820.39,821.03,-4.95,"2,668,740"
09/22/23,826.97,829.28,824.82,825.98,-0.84,"2,515,827"
09/21/23,833.77,834.97,825.47,826.82,-7.66,"3,895,842"
09/20/23,833.03,838.01,832.4,834.48,2.47,"2,722,546"
09/19/23,842.18,843.37,831.63,832.01,-13.48,"3,408,987"
09/18/23,846.1,849.74,843.13,845.49,-0.63,"2,858,999"
09/15/23,850.37,852.62,841.88,846.12,-5.16,"13,333,180"
09/14/23,847.18,851.93,846.35,851.28,7.35,"4,603,555"
09/13/23,836.21,845.25,833.81,843.93,9.83,"4,412,692"
09/12/23,835.45,836.73,833.34,834.1,-2.41,"3,267,297"
09/11/23,834.67,839.16,832.25,836.51,3.41,"2,702,516"
09/08/23,824.24,833.65,823.64,833.1,7.82,"2,787,449"
09/07/23,835.61,838.4,824.46,825.28,-12.46,"4,458,279"
09/06/23,839.24,840.17,834.23,837.74,-2.3,"3,492,448"
09/05/23,838.43,845.24,838.01,840.04,-0.21,"3,004,605"
09/01/23,832.1,841.73,831.2,840.25,11.39,"4,244,112"
08/31/23,836.24,838.12,828.38,828.86,-7.1,"6,463,404"
08/30/23,839.5,842.64,835.46,835.96,-2.21,"3,244,076"
08/29/23,823.02,838.31,821.8,838.17,12.41,"3,255,750"
08/28/23,830.88,832.82,825.27,825.76,-3.56,"2,478,481"
08/25/23,824.57,831.53,824.07,829.32,5.86,"3,852,292"
08/24/23,817.26,823.98,814.72,823.46,5.75,"3,640,491"
08/23/23,813.09,819.57,812.67,817.71,6.02,"3,229,085"
08/22/23,817.08,817.59,808.8,811.69,-5.16,"3,265,178"
08/21/23,822.71,823.06,815.03,816.85,-4.9,"3,537,704"
08/18/23,825.82,825.4,820.66,821.75,-3.71,"2,967,279"
08/17/23,827.82,829.17,823.43,825.46,-0.26,"2,958,332"
08/16/23,823.96,833.23,822.35,825.72,3.48,"3,121,784"
08/15/23,827.89,829.89,821.08,822.24,-10.3,"3,469,702"
08/14/23,834.6,838.92,830.59,832.54,-2.51,"3,289,287"
08/11/23,834.46,835.34,830.93,835.05,0.23,"3,065,726"
08/10/23,826.41,835.62,824.85,834.82,11.31,"3,284,078"
08/09/23,818.61,824.57,815.55,823.51,7.82,"2,939,712"
08/08/23,810.64,816.53,809.01,815.69,3.56,"4,058,762"
08/04/23,806.69,814.62,803.92,812.13,4.54,"4,041,546"
08/03/23,807.96,810.49,804.05,807.59,-4.27,"3,469,401"
08/02/23,812.13,813.89,808.1,811.86,-2.98,"3,851,689"
08/01/23,816.18,818.14,809.33,814.84,-2.82,"2,303,797"
07/31/23,817.74,819.52,814.93,817.66,0.33,"3,490,910"
07/28/23,821.47,825.08,817.33,817.33,-2.71,"2,352,481"
07/27/23,824.43,829.25,818.46,820.04,-2.2,"2,836,851"
07/26/23,831.22,830.45,821.45,822.24,-9.82,"4,345,566"
07/25/23,832.08,833.58,824.11,832.06,-3.04,"2,968,659"
07/24/23,835.78,837.31,834.25,835.1,-0.65,"2,205,781"
07/21/23,830.91,836.02,829.49,835.75,7.55,"2,920,839"
07/20/23,823.82,829.4,821.98,828.2,3.68,"2,060,182"
07/19/23,825.85,827.86,823.2,824.52,-1.97,"2,584,859"
07/18/23,834.18,834.85,824.01,826.49,-4.31,"4,567,471"
07/17/23,828.9,833.15,825.87,830.8,0.61,"2,376,845"
07/14/23,818.85,830.19,818.11,830.19,12.5,"3,502,913"
07/13/23,812.63,819.35,811.84,817.69,5.71,"3,879,685"
07/12/23,815.02,815.16,807.78,811.98,-0.49,"2,896,809"
07/11/23,817.74,819.26,810.47,812.47,-5.33,"3,037,368"
07/10/23,818.82,822.53,816.23,817.8,0.02,"3,172,333"
07/07/23,821.25,825.67,817.1,817.78,-5.49,"3,676,657"
07/06/23,830.39,831.12,822.38,823.27,-11.55,"4,306,005"
07/05/23,836.02,840.35,832.78,834.82,-2.4,"3,653,049"
07/04/23,839.53,841.46,836.56,837.22,-1.73,"1,386,864"
06/30/23,831.25,840.49,831.59,838.95,7.56,"4,456,068"
06/29/23,831.08,832.06,828.38,831.39,1.48,"3,515,484"
06/28/23,822.8,831.47,822.05,829.91,12.89,"4,801,649"
06/27/23,817.84,819.76,813.12,817.02,-0.22,"3,296,930"
06/26/23,804.18,818.34,804.07,817.24,12.21,"6,514,761"
06/23/23,807.01,809.44,802.1,805.03,-2.64,"3,701,301"
06/22/23,805.22,810.13,804.69,807.67,3.32,"4,618,724"
06/21/23,811.2,814.25,804.04,804.35,-8.28,"3,296,157"
06/20/23,807.89,814.36,808.35,812.63,2.3,"7,189,011"
06/19/23,809.89,813.23,807.93,810.33,1.3,"1,408,262"
06/16/23,815.3,820.96,808.94,809.03,-5.29,"12,055,847"
06/15/23,816.5,821.62,813.9,814.32,-0.83,"4,129,678"
06/14/23,811.48,816.33,811.22,815.15,1.94,"3,981,519"
06/13/23,807.28,813.91,807.63,813.21,5.87,"3,731,668"
06/12/23,807.85,809.72,804.52,807.34,-1.42,"4,193,226"
06/09/23,815.04,815.23,807.03,808.76,-11.48,"4,844,589"
06/08/23,823.69,826.21,819.66,820.24,-3.81,"3,367,935"
06/07/23,835,835.74,822.3,824.05,-12.21,"3,780,867"
06/06/23,836.12,837.42,830.84,836.26,-0.25,"3,092,341"
06/05/23,839.4,844.18,835.76,836.51,-5.55,"4,836,939"
06/02/23,834.17,842.25,832.37,842.06,8.4,"3,418,287"
06/01/23,830.2,836.36,829.07,833.66,0.55,"2,896,650"
05/31/23,834.37,838.09,831.96,833.11,-3.98,"8,832,043"
05/30/23,843.52,844.3,836.28,837.09,-9.94,"2,858,597"
05/29/23,849.79,850.01,845.78,847.03,-4.4,"1,106,327"
05/26/23,847.38,853.91,846.34,851.43,4.77,"2,364,643"
05/25/23,846.88,852.07,843.91,846.66,-2.51,"2,867,035"
05/24/23,841.6,849.75,838.68,849.17,6.29,"3,047,558"
05/23/23,853.05,858.46,842.74,842.88,-17.5,"4,493,546"
05/19/23,855.79,861.96,855.44,860.38,4.17,"3,305,316"
05/18/23,857.82,859.97,851.41,856.21,-1.29,"3,300,299"
05/17/23,856.87,857.94,849.98,857.5,-0.51,"3,502,865"
05/16/23,861.92,865.36,854.86,858.01,-7.89,"3,191,819"
05/15/23,871.6,873.03,863.73,865.9,-5.38,"2,654,571"
05/12/23,870.13,878.3,870.12,871.28,0.7,"2,914,664"
05/11/23,866.14,872.04,864.03,870.58,5.55,"2,934,613"
05/10/23,871.02,873.14,859.12,865.03,-8.03,"3,532,777"
05/09/23,871.17,876.2,868.36,873.06,3.56,"2,627,243"
05/08/23,868.34,870.56,864.17,869.5,3.27,"2,693,886"
05/05/23,866.43,870.31,862.94,866.23,1.46,"2,461,530"
05/04/23,877.71,878.38,863.34,864.77,-13.77,"2,714,384"
05/03/23,886.43,885.77,877.68,878.54,-8.47,"2,700,179"
05/02/23,885.16,887.96,879.34,887.01,-1.01,"3,732,135"
05/01/23,888.16,891.93,886.52,888.02,1.78,"2,059,599"
04/28/23,883.9,888.47,882.74,886.24,0.04,"2,720,306"
04/27/23,882.43,888.15,881.97,886.2,5.84,"2,742,299"
04/26/23,875.74,882.21,876.36,880.36,2.75,"3,613,146"
04/25/23,883.21,888.93,875.01,877.61,-5.36,"3,057,757"
04/24/23,879.12,886.62,877.95,882.97,1.68,"2,479,683"
04/21/23,871.26,882.89,870.46,881.29,11.09,"3,196,444"
04/20/23,865.99,876.82,867.7,870.2,-0.34,"2,967,014"
04/19/23,866.94,875.68,867.29,870.54,3.82,"2,807,087"
04/18/23,871.38,876.95,863.63,866.72,-5.32,"3,433,788"
04/17/23,879.1,879.48,871.66,872.04,-7.59,"3,708,275"
04/14/23,874.52,880.7,874.83,879.63,5.34,"2,500,894"
04/13/23,879.87,881.87,871.79,874.29,-4.03,"3,216,637"
04/12/23,887.05,887.24,878.11,878.32,-6.85,"3,606,815"
04/11/23,880.69,887.36,879.81,885.17,4.63,"3,204,735"
04/10/23,877.9,882.45,877.68,880.54,1.23,"2,881,363"
04/06/23,872.59,879.86,872.64,879.31,5.92,"3,568,381"
04/05/23,870.6,877.5,870.53,873.39,2.31,"3,145,028"
04/04/23,871.13,875.96,868.18,871.08,3.53,"2,943,185"
04/03/23,867.56,873.5,866.91,867.55,-3.87,"4,070,525"
03/31/23,866.63,874.63,865.39,871.42,7.05,"4,137,885"
03/30/23,858.27,865.78,855.04,864.37,9.4,"3,636,252"
03/29/23,848.67,855.95,847.63,854.97,8.49,"4,513,695"
03/28/23,839.1,849.11,838.35,846.48,6.43,"3,097,395"
03/27/23,829.84,840.59,828.4,840.05,13.12,"3,692,847"
03/24/23,820.87,828.52,820.26,826.93,6.27,"3,261,323"
03/23/23,816.33,825.28,812.8,820.66,3.75,"4,284,446"
03/22/23,813.42,824.85,813.5,816.91,3.18,"3,295,496"
03/21/23,819.26,822.99,812.37,813.73,-4.47,"3,465,630"
03/20/23,812.77,819.77,810.45,818.2,6.85,"3,770,805"
03/17/23,814.33,818.5,800.6,811.35,-7.66,"10,543,997"
03/16/23,812.37,820.27,806.53,819.01,3.04,"5,059,727"
03/15/23,807.41,816.32,796.15,815.97,1.63,"4,760,634"
03/14/23,809.45,814.57,807.31,814.34,5.71,"4,942,547"
03/13/23,811.29,816.68,804.97,808.63,-5.26,"4,736,863"
03/10/23,829.79,829.91,811.86,813.89,-15.92,"4,479,504"
03/09/23,840.67,842.83,828.9,829.81,-11.38,"4,302,083"
03/08/23,842.83,846.48,839.71,841.19,-0.6,"3,404,020"
03/07/23,845.18,846.11,839.53,841.79,-1.68,"3,003,788"
03/06/23,841.35,846.34,841.22,843.47,0.81,"2,365,685"
03/03/23,836.07,843.8,834.95,842.66,8.39,"3,062,130"
03/02/23,836.88,840.39,832.37,834.27,-4.52,"3,057,060"
03/01/23,839.82,846.66,837.7,838.79,-3.3,"4,550,916"
02/28/23,839.89,842.98,833.7,842.09,-0.05,"6,616,663"
02/27/23,848.86,850.9,841.7,842.14,-9.19,"2,647,415"
02/24/23,844.49,851.71,836.12,851.33,2.7,"3,744,740"
02/23/23,851.44,856.01,844.5,848.63,-0.95,"4,649,033"
02/22/23,841.41,850.69,841.45,849.58,7.48,"4,317,847"
02/21/23,850.44,853.26,840.48,842.1,-12.75,"4,040,829"
02/17/23,847.65,855.6,846.68,854.85,6.54,"3,218,605"
02/16/23,846.84,850.64,844.29,848.31,-0.32,"2,947,286"
02/15/23,840.67,851.57,839.54,848.63,5.55,"3,495,724"
02/14/23,841.01,845.99,837.72,843.08,-0.11,"3,568,389"
02/13/23,835.21,845.51,835.58,843.19,6.92,"3,571,349"
02/10/23,827.58,838.76,826.81,836.27,7.11,"5,308,713"
02/09/23,825.43,832.37,823.75,829.16,5.59,"5,532,325"
02/08/23,810.43,824.01,810.36,823.57,12.13,"3,616,792"
02/07/23,817.5,819.04,810.92,811.44,-9.01,"4,001,712"
02/06/23,819.01,821.16,815.81,820.45,0.12,"3,616,676"
02/03/23,813.18,820.49,811.27,820.33,6.48,"4,719,414"
02/02/23,823.82,823.99,812.26,813.85,-9.3,"6,874,351"
02/01/23,835.03,836.61,821.9,823.15,-14.63,"5,515,712"
01/31/23,833.87,838.09,832.19,837.78,4.23,"5,889,535"
01/30/23,835.38,840.63,833.17,833.55,-3.35,"4,734,837"
01/27/23,837.99,841.63,836.06,836.9,-1.21,"4,557,238"
01/26/23,845.33,847.07,836.19,838.11,-6.63,"4,263,973"
01/25/23,842.26,848.52,839.3,844.74,-0.08,"3,493,983"
01/24/23,839.84,848.69,838.58,844.82,7.75,"3,266,441"
01/23/23,837.28,837.74,832.22,837.07,-0.52,"3,529,285"
01/20/23,840.94,842.62,836.59,837.59,-3.69,"4,037,634"
01/19/23,839.59,847.57,847.57,841.28,-0.48,"4,230,120"
01/18/23,846.7,850.51,839.08,841.76,-5.39,"4,060,602"
01/17/23,848.85,851.9,846.77,847.15,-1.35,"4,142,809"
01/16/23,838.51,849.84,838.82,848.5,8,"1,722,888"
01/13/23,833.46,841.52,832.72,840.5,6.58,"4,268,048"
01/12/23,839.59,841.32,832.71,833.92,-5.14,"4,069,391"
01/11/23,842.68,845.3,837.29,839.06,-2.34,"4,178,489"
01/10/23,842.76,844.88,836.58,841.4,-1.07,"3,426,558"
01/09/23,839.52,850.61,839.68,842.47,2.32,"3,490,378"
01/06/23,830.73,843.18,830.56,840.15,11.15,"3,656,029"
01/05/23,827.56,831.51,819.85,829,0.58,"3,560,431"
01/04/23,832.55,834.54,825.46,828.42,-2.16,"3,141,064"
01/03/23,829.27,835.98,827.03,830.58,7.5,"3,028,898"
12/30/22,824.8,831.98,818.9,823.08,-5,"3,482,449"
12/29/22,830.56,834.78,827.12,828.08,-0.86,"3,372,250"
12/28/22,830.12,836.45,826.28,828.94,-8.33,"3,407,890"
12/23/22,834.82,837.83,830.52,837.27,2.06,"2,726,815"
12/22/22,838.07,839.29,832.69,835.21,-6,"2,968,563"
12/21/22,838.89,846.93,838.67,841.21,4.6,"2,907,381"
12/20/22,838.19,843.41,830.1,836.61,-2.85,"3,940,923"
12/19/22,841.11,851.67,837.42,839.46,-1.54,"4,398,022"
12/16/22,834.91,842.62,832.35,841,1.46,"10,039,290"
12/15/22,849.81,851.07,837.1,839.54,-12.67,"3,678,271"
12/14/22,859.04,863.79,849.98,852.21,-6.17,"3,922,271"
12/13/22,862.21,863.7,857.76,858.38,4.34,"4,222,784"
12/12/22,854.56,858.45,852.22,854.04,-0.61,"4,247,415"
12/09/22,852.91,859.23,851.4,854.65,1.65,"3,354,892"
12/08/22,839.84,855.61,838.82,853,12.99,"5,390,978"
12/07/22,833.84,843.42,833.21,840.01,6.01,"4,615,828"
12/06/22,840.66,844.67,833.23,834,-5.64,"4,062,792"
12/05/22,837.42,844.99,837.53,839.64,-2.71,"4,284,788"
12/02/22,838.1,845.19,835.87,842.35,0.17,"4,247,877"
12/01/22,839.58,844.14,836.75,842.18,2.95,"3,802,389"
11/30/22,838.45,839.51,828.89,839.23,2.5,"12,005,276"
11/29/22,843.13,842.1,833.5,836.73,-6.73,"5,223,076"
11/28/22,830.41,844.45,831.05,843.46,12.2,"6,332,674"
11/25/22,826.97,831.98,825.26,831.26,4.07,"2,521,402"
11/24/22,828.69,831.92,824.31,827.19,-0.48,"1,940,737"
11/23/22,824.44,830.63,822.65,827.67,-0.78,"4,838,636"
11/22/22,825.5,829.64,821.59,828.45,5.58,"4,181,278"
11/21/22,814.88,823.19,812.92,822.87,8.47,"5,624,388"
11/18/22,816.17,818.72,811.45,814.4,0.19,"5,281,751"
11/17/22,804.72,814.77,804.9,814.21,6.34,"5,460,556"
11/16/22,800.08,810.46,799.81,807.87,12.61,"4,870,033"
11/15/22,799.82,800.35,789.93,795.26,0.64,"3,891,423"
11/14/22,802.13,804.88,794.22,794.62,-5.95,"5,216,662"
11/11/22,811.66,813.72,800.09,800.57,-6.92,"3,955,795"
